,dataset,n_estimators,max_samples,ause,ece,accuracy,f1
37,red-wine,5,0.8,0.26607416706772996,0.10912131044499367,0.755,0.7677725118483412
38,red-wine,5,1.0,0.2930549776335838,0.08786514532610663,0.75,0.7685185185185185
39,red-wine,10,0.9,0.28872654034803785,0.07352856153485587,0.765,0.7853881278538813
40,red-wine,10,0.8,0.2442915037112706,0.057531904731182866,0.755,0.776255707762557
41,red-wine,10,1.0,0.2545416954287888,0.05332899794885365,0.76,0.7777777777777778
42,red-wine,20,0.9,0.2101664224459655,0.060449859543672796,0.785,0.8
43,red-wine,20,0.8,0.20720062769656003,0.05162981970647741,0.77,0.7870370370370371
44,red-wine,20,1.0,0.18160015442876962,0.0589718119813338,0.765,0.7793427230046949
45,red-wine,5,0.9,0.48909438566672103,0.07442919380892093,0.755,0.7586206896551725
46,red-wine,5,0.8,0.5374126268363844,0.0833865774168264,0.74,0.7450980392156862
47,red-wine,5,1.0,0.5456720035907267,0.07453668739748726,0.735,0.7389162561576355
48,red-wine,10,0.9,0.5317420277922941,0.09852858356303468,0.74,0.7450980392156862
49,red-wine,10,0.8,0.4787836314954971,0.05142048992694982,0.75,0.7572815533980582
50,red-wine,10,1.0,0.4782837305280311,0.09166315437179982,0.765,0.7707317073170732
51,red-wine,20,0.9,0.5031584462028929,0.09095524335904108,0.735,0.7389162561576355
52,red-wine,20,0.8,0.48888843698328016,0.07392062269850755,0.745,0.751219512195122
53,red-wine,20,1.0,0.5331733807829824,0.07379821753465374,0.745,0.7487684729064038
54,white-wine,5,0.9,0.44665997291038884,0.04905078464095936,0.8091353996737357,0.4120603015075377
55,white-wine,5,0.8,0.41507106811467,0.03809370363463301,0.8091353996737357,0.38095238095238093
56,white-wine,5,1.0,0.3683531064415946,0.04497922209283659,0.8091353996737357,0.4236453201970444
57,white-wine,10,0.9,0.29955083045073994,0.047492738448443164,0.799347471451876,0.3880597014925373
58,white-wine,10,0.8,0.33479891155425123,0.03579734356339104,0.8091353996737357,0.4120603015075377
59,white-wine,10,1.0,0.4073896409488549,0.03630734340677722,0.8075040783034257,0.4099999999999999
