,dataset,kernel,induction_method,loss,ause,ece,accuracy,f1
33,red-wine,poly,random,trace_elbo,0.004158348648993453,0.020067827043780757,0.521875,0.4916943521594684
34,red-wine,poly,kmeans,trace_meanfield_elbo,0.012494801172248438,0.18166613643906504,0.696875,0.7015384615384616
35,red-wine,poly,random,trace_meanfield_elbo,0.015626375962751682,0.2088692935699214,0.721875,0.7244582043343654
36,white-wine,rbf,kmeans,trace_elbo,0.4405454130258561,0.01462279359438409,0.8020408163265306,0.35333333333333333
37,white-wine,rbf,random,trace_elbo,0.3949545818763776,0.01865517259599415,0.8,0.3509933774834437
38,white-wine,rbf,kmeans,trace_meanfield_elbo,0.41795985569509975,0.018326889420937034,0.7989795918367347,0.36245954692556637
39,white-wine,rbf,random,trace_meanfield_elbo,0.42676292732715715,0.01238672939520249,0.8,0.3594771241830066
40,white-wine,linear,kmeans,trace_elbo,0.002039363634232355,0.11525621728270308,0.6163265306122448,0.381578947368421
41,white-wine,linear,random,trace_elbo,0.0020223277263866956,0.0836303570036647,0.4173469387755102,0.30280830280830284
42,white-wine,linear,kmeans,trace_meanfield_elbo,0.008449455568014942,0.24176564710156184,0.7571428571428571,0.4490740740740741
43,white-wine,linear,random,trace_meanfield_elbo,0.006165896302510645,0.254321005728587,0.7816326530612245,0.01834862385321101
44,white-wine,poly,kmeans,trace_elbo,0.0032107800727478723,0.11250190318207207,0.6142857142857143,0.4202453987730061
45,white-wine,poly,random,trace_elbo,0.0018304563681364133,0.06313297520202571,0.4377551020408163,0.2740447957839262
46,white-wine,poly,kmeans,trace_meanfield_elbo,0.011993175745627731,0.2331396411594266,0.7489795918367347,0.4896265560165975
47,white-wine,poly,random,trace_meanfield_elbo,0.011233829293011975,0.2580713444092927,0.7846938775510204,0.12448132780082988
