,dataset,kernel,induction_method,loss,ause,ece,accuracy,f1
0,diabetes,rbf,kmeans,trace_elbo,0.1472797880990551,0.11006175825243773,0.6458333333333334,0.45161290322580644
1,diabetes,rbf,kmeans,trace_elbo,0.0,0.15624999999999822,0.65625,0.0
2,diabetes,rbf,random,trace_elbo,0.0034677092943573304,0.10331515445313977,0.6041666666666666,0.5476190476190477
3,diabetes,rbf,random,trace_elbo,2.9422737677231573e-06,0.17708290969640914,0.6770833333333334,0.1142857142857143
4,diabetes,rbf,kmeans,trace_meanfield_elbo,0.0,0.15624999999999867,0.65625,0.0
5,diabetes,rbf,kmeans,trace_meanfield_elbo,1.932898285872397e-15,0.15625000035762945,0.34375,0.5116279069767442
6,diabetes,rbf,random,trace_meanfield_elbo,0.10115605010881032,0.04086941788171564,0.7395833333333334,0.5614035087719297
7,diabetes,rbf,random,trace_meanfield_elbo,0.1832529393801265,0.13031517463405135,0.6666666666666666,0.4666666666666667
8,diabetes,linear,kmeans,trace_elbo,0.004746029439934126,0.19429364697203735,0.6979166666666666,0.5538461538461539
9,diabetes,linear,kmeans,trace_elbo,0.00226833868587305,0.09180130959926079,0.59375,0.49350649350649345
10,diabetes,linear,random,trace_elbo,0.0038642745596880594,0.049423592473475574,0.5520833333333334,0.44155844155844154
11,diabetes,linear,random,trace_elbo,0.00188563791887851,0.1052464088627071,0.3958333333333333,0.19444444444444445
12,diabetes,linear,kmeans,trace_meanfield_elbo,0.005086041573824098,0.20026142688714102,0.7083333333333334,0.5757575757575757
13,diabetes,linear,kmeans,trace_meanfield_elbo,0.008330438138128567,0.16585445882496178,0.6770833333333334,0.5633802816901409
14,diabetes,linear,random,trace_meanfield_elbo,0.009372323406787482,0.1340058341714336,0.6458333333333334,0.5277777777777778
15,diabetes,linear,random,trace_meanfield_elbo,0.007612538007597491,0.13781441303917416,0.6458333333333334,0.41379310344827586
16,diabetes,poly,kmeans,trace_elbo,0.005683232157437794,0.014549320355952466,0.4895833333333333,0.4615384615384615
17,diabetes,poly,kmeans,trace_elbo,0.001788574039429509,0.08150277633537763,0.5833333333333334,0.4444444444444444
18,diabetes,poly,random,trace_elbo,0.0030051248616425005,0.1130821117779135,0.6145833333333334,0.463768115942029
19,diabetes,poly,random,trace_elbo,0.002757872078633845,0.10607259050169686,0.3958333333333333,0.3829787234042553
20,diabetes,poly,kmeans,trace_meanfield_elbo,0.014493948160499,0.13355880968830428,0.6458333333333334,0.5405405405405405
21,diabetes,poly,kmeans,trace_meanfield_elbo,0.006326375470725054,0.15712109522117892,0.6666666666666666,0.5897435897435898
22,diabetes,poly,random,trace_meanfield_elbo,0.009035768050780378,0.15467922592184472,0.6666666666666666,0.5
23,diabetes,poly,random,trace_meanfield_elbo,0.017051415614283062,0.14763013477903447,0.6666666666666666,0.5675675675675675
24,ionosphere,rbf,kmeans,trace_elbo,0.01778869838933412,0.12691125241238657,0.8181818181818182,0.8709677419354839
25,ionosphere,rbf,kmeans,trace_elbo,0.04836273347741361,0.10306687021273021,0.9090909090909091,0.9333333333333333
26,ionosphere,rbf,random,trace_elbo,0.04941757901385463,0.1344347798003169,0.8636363636363636,0.9032258064516129
27,ionosphere,rbf,random,trace_elbo,0.09475122067411265,0.07295159279407801,0.8181818181818182,0.8750000000000001
28,ionosphere,rbf,kmeans,trace_meanfield_elbo,0.08161643208109662,0.12672096981655592,0.9090909090909091,0.9310344827586207
29,ionosphere,rbf,kmeans,trace_meanfield_elbo,0.07568521383757242,0.13336917344320381,0.7954545454545454,0.8571428571428572
